Name,Keywords,Definiton,Alternate Names
endocarditis,"pleuritic pain,thicken,myalgia,apyrexial,night sweat,flare,shortness of breath,orthopnea,abscess bacterial,hypotension,cough,metastatic lesion,breath sounds decreased,decreased body weight,pulsus paradoxus,hypokinesia","is an inflammation of the inner lining of the heart. ndocarditis, occurs when germs enter your heart. These germs come through your bloodstream from another part of your body, often your mouth. Bacterial endocarditis can damage your heart valves. If untreated, it can be life-threatening. It is rare in healthy hearts. Risk factors include having An abnormal or damaged heart valve An artificial heart valve Congenital heart defects The signs and symptoms of IE can vary from person to person. They also can vary over time in the same person. Symptoms you might notice include fever, shortness of breath, fluid buildup in your arms or legs, tiny red spots on your skin, and weight loss",
epilepsy,"seizure,hypometabolism,aura,muscle twitch,drowsiness,tremor,unresponsiveness,hemiplegia,myoclonus,gurgle,sleepy,lethargy,wheelchair bound","The epilepsies are a spectrum of brain disorders ranging from severe, life-threatening and disabling, to ones that are much more benign. In epilepsy, the normal pattern of neuronal activity becomes disturbed, causing strange sensations, emotions, and behavior or sometimes convulsions, muscle spasms, and loss of consciousness. The epilepsies have many possible causes and there are several types of seizures. Epilepsy may develop because of an abnormality in brain wiring, an imbalance of nerve signaling chemicals called neurotransmitters, changes in important features of brain cells called channels, or some combination of these and other factors. Having a single seizure as the result of a high fever (called febrile seizure) or head injury does not necessarily mean that a person has epilepsy.",
exanthema,"fever,pruritus,macule,lesion,redness,headache,apyrexial,arthralgia,swelling,erythema,photophobia,chill,scratch marks,pain,painful swallowing","A viral infectious disease that results in infection in infants and children, located in skin, has material basis in Human herpesvirus 6 or has material basis in Human herpesvirus 7 and has symptom sudden high fever, and has symptom red rash that occurs first on the trunk then spreading to legs and neck.",
fibrous tumor,"para 2,haemorrhage,abortion,intermenstrual heavy bleeding,muscle hypotonia,hypotonic,previous pregnancies 2,shortness of breath,fever,heartburn,primigravida,abnormally hard consistency,proteinemia","Uterine fibroids are noncancerous growths of the uterus that often appear during childbearing years. Also called leiomyomas (lie-o-my-O-muhs) or myomas, uterine fibroids aren't associated with an increased risk of uterine cancer and almost never develop into cancer.",fibroid tumor
gastritis,"heme positive,pain abdominal,vomiting,disequilibrium,nausea,intoxication,haemorrhage,guaiac positive,pain,decreased body weight,sore to touch,dizziness","The membranes lining the stomach wall protect it from acid and germs. If this protective lining is irritated or damaged, it can become inflamed. Long-lasting inflammations can further damage the stomach lining and lead to stomach (gastric) ulcers. Inflammation of the stomach lining is called gastritis. It is usually caused by certain bacteria or anti-inflammatory medication. There are two kinds of gastritis: acute and chronic. Acute gastritis is typically accompanied by very noticeable stomach and bowel problems that usually go away again on their own after a few days. Chronic gastritis, on the other hand, sometimes goes unnoticed. People may only realize they have it when complications like stomach ulcers arise.",
gastroenteritis,"pain abdominal,breath-holding spell,nausea,decreased body weight,sore to touch,scleral icterus,fever,myalgia,hyponatremia,retch,mass of body structure,decreased body weight","is an inflammation of the lining of the intestines caused by a virus, bacteria, or parasites. Viral gastroenteritis is the second most common illness in the U.S. The cause is often a norovirus infection. It spreads through contaminated food or water or by contact with an infected person.Symptoms of gastroenteritis include diarrhea, abdominal pain, vomiting, headache, fever, and chills. Most people recover with no treatment.",
gastroesophageal reflux,"pain,pain chest,burning sensation,hyponatremia,satiety early,throbbing sensation quality,chest tightness,sensory discomfort,presence of q wave,nausea,general discomfort,constipation,palpitation,pain abdominal,heartburn,sweat,sweating increased,asthenia","s a condition in which reflux of the stomach contents into the oesophagus typical symptoms such as epigastric pain, dyspepsia, nausea, bloating, and belching may be suggestive of GERD but may overlap with other conditions in the differential diagnosisincluding chronic cough, asthma, laryngitis, and dental erosions.",
glaucoma,"fall,distended abdomen,unsteady gait,paresthesia,hyponatremia,agitation,unconscious state,burning sensation,lesion,mass of body structure","Glaucoma is a group of eye conditions that damage the optic nerve, the health of which is vital for good vision. This damage is often caused by an abnormally high pressure in your eye.Glaucoma is one of the leading causes of blindness for people over the age of 60. It can occur at any age but is more common in older adults.",
gout,"hot flush,pain,redness,swelling,erythema,emphysematous change,sore to touch,hypokinesia,ascites,patient non compliance","hemiparesis is a type of arthritis, which is a group of related disorders caused by episodes of abnormal inflammation in the joints. People with gout have high levels of a substance called urate in the blood (hyperuricemia). Gout develops when hyperuricemia leads to the formation of urate crystals in joints, triggering an inflammatory response from the immune system. ",
hemiparesis,"dysarthria,paresis,asthenia,aphagia,seizure,speech slurred,focal seizures,hemiplegia,abnormal sensation,unresponsiveness,stupor,drowsiness,sleepy,fremitus,Stahli's line,stinging sensation,paralyse,clonus,facial paresis","A central nervous system disease that is characterized by the complete paralysis of half of the body.Affiliated tissues include brain, testes and bone, and related phenotypes are behavior/neurological and homeostasis/metabolism
",Hemiplegia Hemiparesis paralysis
hemorrhoid,"haemorrhage,bowel sounds decreased,decreased stool caliber,nausea and vomiting,hunger,diarrhea,dizziness,hyponatremia,clonus,pain,achalasia,burning sensation,guaiac positive,numbness of hand,wheezing,cough","Hemorrhoids are swollen, inflamed veins around the anus or lower rectum. They are either inside the anus or under the skin around the anus. They often result from straining to have a bowel movement. Other factors include pregnancy, aging and chronic constipation or diarrhea.",
Hemosiderosis,"rale,jugular venous distention,hyperkalemia,orthopnea,shortness of breath,drowsiness,sleepy,weight gain,hypokalemia,hypotension,swelling,distended abdomen","This is because the kidneys normally balance the amount of salts and fluids in your body. When they retain salt, they increase the bodyâ€™s total sodium content, which increases your fluid content.This is because the kidneys normally balance the amount of salts and fluids in your body. When they retain salt, they increase the bodyâ€™s total sodium content, which increases your fluid content.",overload fluid
hepatitis,"ascites,spontaneous rupture of membranes,tachypnea,pain abdominal,pruritus,anorexia,transaminitis,projectile vomiting,chill,distress respiratory,fever,vomiting","Your liver is the largest organ inside your body. It helps your body digest food, store energy, and remove poisons. Hepatitis is an inflammation of the liver. Viruses cause most cases of hepatitis. The type of hepatitis is named for the virus that causes it; for example, hepatitis A, hepatitis B or hepatitis C. Drug or alcohol use can also cause hepatitis. In other cases, your body mistakenly attacks healthy cells in the liver. Some people who have hepatitis have no symptoms.",
hepatitis B,"inappropriate affect,tachypnea,yellow sputum,projectile vomiting,poor feeding,pain abdominal,abdominal tenderness,wheelchair bound,moan",". Hepatitis is an inflammation of the liver. One type, hepatitis B, is caused by the hepatitis B virus (HBV). Hepatitis B spreads by contact with an infected person's blood, semen, or other body fluid. An infected woman can give hepatitis B to her baby at birth. If you get HBV, you may feel as if you have the flu. You may also have jaundice, a yellowing of skin and eyes, dark-colored urine, and pale bowel movements. Some people have no symptoms at all. A blood test can tell if you have it. HBV usually gets better on its own after a few months. If it does not get better, it is called chronic HBV, which lasts a lifetime. Chronic HBV can lead to cirrhosis (scarring of the liver), liver failure, or liver cancer.",
hepatitis C,"ascites,distended abdomen,feeling suicidal,cough,ache,macerated skin,heavy feeling,hallucinations auditory,chill,asterixis,patient non compliance","Hepatitis is inflammation of the liver. Inflammation is swelling that happens when tissues of the body are injured or infected. Inflammation can damage organs. There are different types of hepatitis. One type, hepatitis C, is caused by the hepatitis C virus (HCV). Hepatitis C can range from a mild illness lasting a few weeks to a serious, lifelong illness. Hepatitis C can be acute or chronic: Acute hepatitis C is a short-term infection. The symptoms can last up to 6 months. Sometimes your body is able to fight off the infection and the virus goes away.",
Hepatocellular Carcinoma,"mass of body structure,splenomegaly,lesion,paresis,tumor cell invasion,room spinning,haemorrhage,thicken,indifferent mood,cachexia,hypothermia, natural,pain abdominal,hepatomegaly,hematocrit decreased,stupor,decreased body weight,shortness of breath,cough","e Obesity and diabetes Symptoms can include a lump or pain on the right side of your abdomen and yellowing of the skin. However, you may not have symptoms until the cancer is advanced. This makes it harder to treat",primary carcinoma of the liver cells
hernia,"pain abdominal,pain,hyperventilation,excruciating pain,gag,nausea,posturing,hemiplegia,sore to touch,haemorrhage,apyrexial,food intolerance,pulse absent,asthenia,mass of body structure,thicken","hernia is a defect in the diaphragm. The diaphragm, which is composed of muscle and other fibrous tissue, separates the organs in the abdomen from those in the chest. Abnormal development of the diaphragm before birth leads to defects ranging from a thinned area in the diaphragm to its complete",
hiatus hernia,"pain abdominal,fatigability,prodrome,vomiting,nausea,myalgia,hyponatremia,sore to touch,general discomfort,dyspnea on exertion,asterixis,guaiac positive,numbness of hand,headache,photophobia",A hiatal hernia is a condition in which the upper part of your stomach bulges through an opening in your diaphragm. Your diaphragm is the thin muscle that separates your chest from your abdomen. Your diaphragm helps keep acid from coming up into your esophagus.,
HIV,"fever,night sweat,spontaneous rupture of membranes,cough,,decreased body weight,chill,diarrhea,pleuritic pain,patient non compliance,tachypnea,productive cough,muscle hypotonia,hypotonic,feeling suicidal","HIV is a virus spread through certain body fluids that attacks the bodyâ€™s immune system, specifically the CD4 cells, often called T cells. Over time, HIV can destroy so many of these cells that the body canâ€™t fight off infections and disease. These special cells help the immune system fight off infections. Untreated, HIV reduces the number of CD4 cells (T cells) in the body. This damage to the immune system makes it harder and harder for the body to fight off infections and some other diseases. Opportunistic infections or cancers take advantage of a very weak immune system and signal that the person has AIDS. HIV is a variation of a virus that infects African chimpanzees. Scientists suspect the simian immunodeficiency virus (SIV) jumped from chimps to humans when people consumed infected chimpanzee meat. Once inside the human population, the virus mutated into what we now know as HIV",hiv infections acquired immuno-deficiency syndrome
jaundice,"cyanosis,tachypnea,para 1,bradycardia,breech presentation,cushingoid facies,cushingoid habitus,cough,myalgia","Hyperbilirubinemia is a condition in which there is a build up of bilirubin in the blood, causing yellow discoloration of the eyes and skin, called jaundice. Low levels of bilirubin in the newborn is common and does not cause any trouble and will resolve on its own in the first week of life. However some conditions like prematurity, infection or certain blood disorders can lead to a rapid accumulation of bilirubin to a toxic level.Bilirubin is a natural byproduct produced when red blood cells breakdown. The adult liver converts unconjugated bilirubin into a conjugated form, that be excreted. During pregnancy, the placenta excretes bilirubin but when the baby is born, the baby's immature liver must assume that role.",hyperbilirubinemia
hypercholesterolemia,"pain,pain chest,sweat,sweating increased,nonsmoker,pressure chest,syncope,numbness,chest discomfort,shortness of breath,st segment depression,worry,t wave inverted,bradycardia,dyspnea","Hypercholesterolemia is a condition characterized by very high levels of cholesterol in the blood. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals (particularly egg yolks, meat, poultry, fish, and dairy products). The body needs this substance to build cell membranes, make certain hormones, and produce compounds that aid in fat digestion. Too much cholesterol, however, increases a person's risk of developing heart disease.",
hyperglycemia,"sore to touch,pruritus,feeling strange,pustule,cushingoid facies,cushingoid habitus,decreased body weight,mood depressed,estrogen use,wheezing,ascites,seizure","Hyperglycemia means high blood sugar or glucose. Glucose comes from the foods you eat. Insulin is a hormone that moves glucose into your cells to give them energy. Hyperglycemia happens when your body doesn't make enough insulin or can't use it the right way. People with diabetes can get hyperglycemia from not eating the right foods or not taking medicines correctly. Other problems that can raise blood sugar include infections, certain medicines, hormone imbalances, or severe illnesses.",
hyperlipidemia,"pain chest,angina pectoris,palpitation,presence of q wave,photopsia,sweat,sweating increased,chest discomfort,shortness of breath,giddy mood,hypokinesia,hemiplegia,dizziness","is characterized by fluctuations in serum lipid concentrations Patients with FCHL are at increased risk of cardiovascular disease and mortality and have a high frequency of comorbidity with other metabolic conditions such as type 2 diabetes, nonalcoholic fatty liver disease, steatohepatitis, and the metabolic syndrome",
hypertensive,"pain chest,shortness of breath,dizziness,asthenia,fall,syncope,vertigo,sweat,sweating increased,palpitation,nausea,angina pectoris,pressure chest","Hypertensive heart disease refers to heart conditions caused by high blood pressure. The heart working under increased pressure causes some different heart disorders. Hypertensive heart disease includes heart failure, thickening of the heart muscle, coronary artery disease, and other conditions.",hypertensive disease
hypoglycemia,"unresponsiveness,hypothermia, natural,incoherent,qt interval prolonged,lameness,claudication,unconscious state,clammy skin,polyuria,distress respiratory,hypotension","Hypoglycemia means low blood glucose, or blood sugar. Your body needs glucose to have enough energy. After you eat, your blood absorbs glucose. If you eat more sugar than your body needs, your muscles, and liver store the extra. When your blood sugar begins to fall, a hormone tells your liver to release glucose.",
hypothyroidism,"shortness of breath,prostatism,drowsiness,sleepy,hyponatremia,fall,unsteady gait,polyuria,hypotension,difficulty,syncope,nightmare,speech slurred,weight gain,asthenia,fatigue,tired,agitation,mental status changes,motor retardation,vomiting,numbness,mass of body structure","Hypothyroidism occurs when your body doesn’t produce enough thyroid hormones. The thyroid is a small, butterfly-shaped gland that sits at the front of your neck. It releases hormones to help your body regulate and use energy. An autoimmune disease
Your immune system is designed to protect your body’s cells against invading bacteria and viruses. When unknown bacteria or viruses enter your body, your immune system responds by sending out fighter cells to destroy the foreign cells.

Sometimes, your body confuses normal, healthy cells for invading cells. This is called an autoimmune response. If the autoimmune response isn’t regulated or treated, your immune system can attack healthy tissues. This can cause serious medical issues, including conditions like hypothyroidism.

Hashimoto’s disease is an autoimmune condition and the most common cause of an underactive thyroid. This disease attacks your thyroid gland and causes chronic thyroid inflammation. The inflammation can reduce thyroid function. It’s common to find multiple family members with this same condition.",
ileus,"abscess bacterial,abdomen acute,air fluid level,catching breath,abdominal tenderness,nausea,sore to touch,flatulence,diarrhea,mass of body structure,apyrexial,constipation,thicken,gravida 0,pain abdominal","Your intestines are about 28 feet long. This means the foods you eat have a long way to travel before they’re fully digested or excreted. An ileus is common after surgery because people are often prescribed medication that can slow intestinal movement. This is a type of paralytic ileus.

In this instance, the intestine isn’t blocked. Rather, it isn’t moving properly.

The result is little or no movement of digested food through your intestines.

Examples of medicines that can cause a paralytic ileus include:

hydromorphone (Dilaudid)
morphine
oxycodone
tricyclic antidepressants, such as amitriptyline and imipramine (Tofranil)
However, there are several other causes of an ileus. These include:

intestinal cancer
Crohn’s disease, which causes the intestinal walls to get thicker due to autoimmune inflammation
diverticulitis
Parkinson’s disease, which affects muscles and nerves in the intestines
These are the most common ileus causes in adults. Children can also have an ileus.

Intussusception is the most common cause for an ileus in children. This is when a part of the intestine “telescopes” or slides into itself.


Risk factors for ileus
Ileus is the second most common reason for hospital readmission in the first 30 days after surgery. An ileus is more likely if you’ve recently had abdominal surgery.

Surgical procedures on the abdomen that involve handling the intestines commonly cause stoppage of intestinal movement for a period of time. This allows the surgeon to access your intestines.

Sometimes normal peristalsis can be slow to return. Other people are more likely to experience later scar tissue formation that can also lead to an ileus.

A number of medical conditions can increase your risk of ileus. They include:

electrolyte imbalance, such as those involving potassium and calcium
history of intestinal injury or trauma
history of intestinal disorder, such as Crohn’s disease and diverticulitis
sepsis
history of irradiation of or near the abdomen
peripheral artery disease
rapid weight loss
Aging also naturally slows down how fast the intestines move. An older adult is at greater risk for ileus, especially since they tend to take more medications that could potentially slow movement of material through the intestines.

How is an ileus diagnosed?
A doctor would first listen to a description of your symptoms. You’ll likely be asked about any history of medical conditions, prescribed medications, and surgeries, especially recent procedures.

Your doctor will then conduct a physical exam, looking at your abdomen for signs of swelling or tightness. Your doctor will also listen to your abdomen for typical bowel sounds with a stethoscope.

If your bowels aren’t moving because of an ileus, your doctor may not hear anything, or may hear excessive bowel sounds.

Imaging studies are usually ordered after a thorough physical exam. A doctor may use these methods to identify areas where bowel content seems to be concentrated.

Imaging studies can show where an ileus is located, likely showing a buildup of gas, an enlarged intestine, or even obstruction.

Examples of imaging studies include:

Plain film X-ray. This may show signs of trapped gas and possibly the obstruction, but plain film X-rays aren’t always the most conclusive way to diagnose an ileus.
CT scan. This scan provides more detailed X-ray images to help doctors identify the potential area where the ileus is located. The scan typically uses contrast agents injected intravenously or taken orally.
Ultrasound. This imaging technique is more commonly used to identify an ileus in children.
In some instances, a doctor may use a diagnostic procedure known as an air or barium enema.

A doctor will insert air or barium sulfate, a radioopaque substance, through the rectum into the colon, while a technician takes X-rays of the abdomen. The air or barium shows up on the X-ray to help the technician view any potential obstruction.

In some children, this procedure can treat an ileus that is caused by intussusception.

What complications can an ileus cause?
An ileus can develop into a serious and potentially life-threatening situation.

Two of the most severe complications are:

Necrosis
Also known as untimely cellular death or dead tissue, necrosis can happen when an obstruction cuts off blood supply to the intestine.

Without blood, oxygen can’t get the tissue, causing it to die. Dead tissue weakens the intestinal wall. This makes it easy for the intestine to tear and leak bowel contents.

This is known a bowel perforation.

Peritonitis
The bowel perforation mentioned earlier can cause peritonitis.

This is a serious inflammation in the abdominal cavity caused by bacteria or fungus.

Your bowel contains many bacteria, like E. coli. They’re supposed to remain in your intestines, not roam free in your body cavity. Bacterial peritonitis can turn into sepsis, a life-threatening condition that can result in shock and organ failure.

How is an ileus treated?
Treatments for an ileus depends on its severity. Examples include:

Partial obstruction
Sometimes a condition like Crohn’s disease or diverticulitis will mean that part of the intestine isn’t moving. But some bowel material can get through.

In this instance, if you are otherwise stable, a doctor may recommend a low-fiber diet. This can help reduce the bulky stool, making it easier to pass.

However, if that doesn’t work, surgery to repair or move the affected portion of the bowel may be needed.

Complete obstruction
A complete obstruction is a medical emergency.

Treatment will depend upon your overall health. For example, some people can’t handle an extensive abdominal surgery. This includes the very elderly and those with colon cancer.

In this case, a doctor may use a metal stent to make the intestine more open. Ideally, food will start to pass with the stent.

Abdominal surgery to remove the blockage or the damaged intestine portion may still be needed though.

Paralytic ileus
Treatment for a paralytic ileus starts by identifying the underlying cause.

If medicine is the cause, a doctor may be able to prescribe another medication to stimulate motility (intestine movement). An example is metoclopramide (Reglan).

Discontinuing the medications that caused the ileus, if possible, can also help. However, you shouldn’t stop taking a medicine, especially an antidepressant, without your doctor’s approval.

Treatment without surgery is possible during the early stages of paralytic ileus. But you may still require a hospital stay to get the proper fluids until the issue is fully resolved.

A doctor may also use a nasogastric tube with suctioning, in addition to giving intravenous fluid hydration. Known as nasogastric decompression, this procedure calls for a tube to be inserted into your nasal cavity to reach your stomach.

Essentially the tube suctions out the extra air and material that you may otherwise vomit.

Most surgery-related ileus will resolve within two to four days after surgery. However, some people do require surgery for correction if the condition doesn’t improve.

Considerations for surgery
Your intestines are very long, so you can live without a portion of it. While it may affect the digestive process, most people do live a healthy life with a part of their intestine removed.

In some instances, a doctor may have to remove the entire intestine. In this case, a doctor will create a special pouch called an ostomy. The bag allows stool to drain from your remaining gastrointestinal tract.

You have to care for the ostomy, but you can live without your intestine after an ileus.

Outlook for ileus
An ileus is common, but it’s highly treatable.

If you’ve had a recent surgery or have other risk factors for an ileus you should be aware of the symptoms.

Seeking medical care is important in the hopes the ileus can be resolved without invasive medical treatment.

Can an ileus be prevented?
Most of the risk factors associated with ileus aren’t preventable. Examples include an injury or chronic illness.

If surgery is necessary, the possibility for ileus should be considered. But it shouldn’t keep you from having a needed surgery.

Being aware of the symptoms of an ileus are important in seeking prompt treatment to keep it from getting worse.

HEALTHLINE NEWSLETTERS
Get our twice weekly wellness email
To inspire you to exercise and eat well, we’ll send you our top health tips and stories, plus must-read news.

Enter your email
Your privacy is important to us

 10 sourcescollapsed











Medically reviewed by Debra Sullivan, PhD, MSN, RN, CNE, COI on January 23, 2019 — Written by Rachel Nall, RN, BSN, CCRN

related stories
Intestinal Obstruction
Toxic Megacolon
Is Coffee a Laxative?
What Causes Stomach Spasms?
Bowel Retraining


Your intestines complete this task by moving in a wave-like motion. Known as peristalsis, these muscle contractions move forward your digested food.

However, if something such as muscle or nerve problems, slows down or blocks this motion, the result can be a major traffic jam in your intestines.

Ileus is the medical term for this lack of movement somewhere in the intestines that leads to a buildup and potential blockage of food material.

An ileus can lead to an intestinal obstruction. This means no food material, gas, or liquids can get through.

It can occur as a side effect after surgery. However, there are other causes of this condition.

An ileus is a serious concern. But people often don’t know that food is building up in their intestines and continue to eat. This pushes more and more material toward the buildup.

Without treatment, the ileus can perforate or tear the intestine. This causes bowel contents — which have high levels of bacteria — to leak into areas of your body cavity. This can be deadly.

If an ileus does occur, it’s important to get treatment as quickly as possible.",
incontinence,"paraparesis,seizure,asthenia,urge incontinence,unconscious state,aura,moody,fear of falling,tremor,spasm,unhappy,syncope,fall,stiffness,unresponsiveness","Your thyroid is responsible for providing energy to nearly every organ in your body. It controls functions like how your heart beats and how your digestive system works. Without the right amount of thyroid hormones, your body’s natural functions begin to slow down.",
infection,"fever,erythema,decreased translucency,hepatosplenomegaly,chill,pruritus,diarrhea,abscess bacterial,swelling,pain,apyrexial,cough","The invasion and multiplication of microorganisms such as bacteria, viruses, and parasites that are not normally present within the body. An infection may cause no symptoms and be subclinical, or it may cause symptoms and be clinically apparent. An infection may remain localized, or it may spread through the blood or lymphatic vessels to become systemic (bodywide). Microorganisms that live naturally in the body are not considered infections. For example, bacteria that normally live within the mouth and intestine are not infections. An infection occurs when another organism enters your body and causes disease. The organisms that cause infections are very diverse and can include things like viruses, bacteria, fungi, and parasites. You can acquire an infection in many different ways, such as directly from a person with an infection, via contaminated food or water, and even through the bite of an insect. Let’s take a closer look at infections, the types of organisms that cause them, and actions you can take to help prevent becoming ill.You can get an infection in many different ways. Direct contact Some, but not all, infections can spread when you come directly into contact with a person who has an infection, whether through touching, kissing, or having sex. Direct contact with the bodily fluids of a person who has an infection can also spread infections in some instances. This can include things like:
blood
nasal secretions
saliva
semen
vaginal secretions
Lastly, some infections can be spread directly from an infected mother to her child either through the placenta or during childbirth.
Indirect contact
Some infectious organisms can be found throughout your environment. You can come into contact with these things and then spread the infection to yourself.
A common example of this is when someone with the flu coughs or sneezes. Influenza virus can then be present in the air or on objects such as door and faucet handles. If you touch a contaminated object and then touch your face, mouth, or nose, you may become infected.
Through contaminated food or water
In some cases, food or water may be contaminated with infectious organisms. You can get these infections by consuming things like:

foods prepped or prepared in unsanitary conditions
raw or undercooked foods, such as produce, meats, or seafood
improperly canned foods
unpasteurized milks or juices
foods that have been improperly stored or refrigerated
From an infected animal
Some infections are spread to people from an infected animal. One example is the rabies virus, which you can get if an infected animal bites you.

Another example is toxoplasmosis. You can come down with this parasitic disease from changing an infected cat’s litter box.

From a bug bite
There are many different types of biting bugs, including ticks, mosquitoes, and lice. In some cases, you can get an infection if a bug carrying around an infectious microorganism bites you. Some examples include malaria, Lyme disease, and West Nile Virus.

ALL INFECTIONS ARE DIFFERENT
Not all infections are spread in the same way. While one infection may be transmitted via infected blood, another may be transmitted by the bite of an insect. It’s always important to consider the specific infection when talking about transmission.

Identifying an infection
Some infections have very characteristic symptoms. Your doctor may be able to make a diagnosis based off of these symptoms, your medical history, and a physical examination.

In other cases, it can be hard to determine what type of organism may be causing your condition. For example, some bacterial and viral infections can have very similar symptoms.

In cases where it’s unclear what’s causing your infection, your doctor may take a sample from your body to be tested in a laboratory. Where this sample is collected from depends on your illness and the type of organism suspected. Some sample types can include:

blood
urine
stool
nasal or throat
sputum
cerebrospinal fluid (CSF)
Your doctor may also use imaging tests, such as an X-ray, CT scan, or MRI scan. In some cases, they may also want to take a biopsy of the affected tissue to examine it.

Preventing infection
There are many actions that you can take to prevent the spread of infections. Be sure to follow the tips below:

Practice good hand hygiene. Wash your hands often, especially before eating or handling food, after using the toilet, and before touching your face or mouth.
Get vaccinated. Many infections can be prevented through vaccines. Examples include, but aren’t limited to: measles, whooping cough, and hepatitis B.
Avoid sharing personal items. These include drinking glasses, toothbrushes, and razor blades.
Practice safe sex.
Cover cuts or scrapes. This can lessen the chances that they’ll become infected. Don’t pick or scratch them.
Use insect repellents or sprays. These products can help you avoid being bitten by mosquitoes or ticks.
Be careful with food. Always prepare food in sanitary conditions, and make sure it’s heated to the proper temperature before eating.
Avoid wild animals. Make sure to have any animal bites examined by a doctor.
Know before you go. If you’re traveling, be aware of any infections common to the area where you’ll be staying. Some of them may even have vaccines available.
Cover your mouth when you cough. If you’re sick, be sure to dispose of all used tissues properly. If you don’t have a tissue, cough into the crook of your elbow instead of your hand.
Stay home if you’re sick. This can prevent you from spreading an infection. Make sure to ask your doctor when you can return to work or school.
The takeaway
Infections can be caused by a variety of different organisms, including viruses, bacteria, fungi, and parasites. The different ways that you can get an infection can be just as diverse as the organisms that cause them.

While some infections may be treated at home, you should always contact your doctor if you have symptoms of an infection that aren’t getting better, are getting worse, or recur. You may need additional medications to treat your condition.

HEALTHLINE NEWSLETTERS
Get our Healthline wellness newsletter
To inspire you to exercise and eat well, we’ll send you our top health tips and stories, plus must-read news.

Enter your email
Your privacy is important to us

 19 sourcescollapsed




















Medically reviewed by Stacy Sampson, DO on May 30, 2019 — Written by Jill Seladi-Schulman, PhD

related stories
Signs of Bacterial Infection: Cuts, Burns, and in the Body
What’s the Difference Between Bacterial and Viral Infections?
Are Bacterial Infections Contagious?
How Do Antibiotics Work?
Everything You Need to Know About Fungal Infection

10 Exercises to Tone Every Inch of Your Body

For a Longer Life and Happier Gut, Eat More Fiber

How Collagen Can Boost Your Body’s Skin, Muscle, and Gut

6 Ways to Boost Your Coffee with Vitamins and Antioxidants

The 3-Day Fix for Energy


",
influenza,"uncoordination,fever,pleuritic pain,snuffle,throat sore,malaise,debilitation,symptom aggravating factors,chill,scleral icterus,nasal flaring,dysuria,lip smacking,headache,sneeze,snore,green sputum,shortness of breath,distress respiratory,blackout,extreme exhaustion","Also called underactive thyroid, hypothyroidism affects women more frequently than men. It commonly affects people over the age of 60, but can begin at any age. It may be discovered through a routine blood test or after symptoms begin.",
ischemia,"drowsiness,sleepy,pain chest,angina pectoris,pressure chest,chest discomfort,shortness of breath,dyspnea,sinus rhythm,bradycardia,sweat,sweating increased,rale,asymptomatic,anorexia","A vascular disease that is characterized by a restriction in blood supply to tissues.Ischemia, also known as acute coronary syndrome, is related to retinal ischemia and limb ischemia, and has symptoms including muscle weakness, polydipsia and angina pectoris. An important gene associated with Ischemia is and among its related pathways/superpathways are PI3K-Akt signaling pathway and Pathways in cancer. The drugs Fenoldopam and Promethazine have been mentioned in the context of this disorder. Affiliated tissues include heart, brain and liver, and related phenotypes are cardiovascular system and cellular",
kidney disease,"shortness of breath,hyperkalemia,pain chest,fever,gravida 0,bleeding of vagina","kidneys clean your blood by removing excess fluid, minerals, and wastes. They also make hormones that keep your bones strong and your blood healthy. But if the kidneys are damaged, they don't work properly. Harmful wastes can build up in your body. Your blood pressure may rise. Your body may retain excess fluid and not make enough red blood cells.",
lymphatic system disease,"pain,mass of body structure,night sweat,splenomegaly,lesion,chill,decreased body weight,swelling,fever,hyperacusis,fremitus,non-productive cough,egophony,redness,hepatomegaly,fatigue","is related to histiocytosis and hemophagocytic lymphohistiocytosis, and has symptoms including edema, axillary lymph node pain and axillary lymph node tenderness.Lymph nodes - glands found throughout the lymph vessels. Along with your spleen, these nodes are where white blood cells fight infection. Your bone marrow and thymus produce the cells in lymph. They are part of the system, too. The lymphatic system clears away infection and keeps your body fluids in balance. If it's not working properly, fluid builds in your tissues and causes swelling, called lymphedema. Other lymphatic system problems can include infections, blockage, and cancer. An immune system disease that is located in the lymphatic system.
",
lymphoma,"lesion,fever,welt,transaminitis,decreased body weight,ataxia,tinnitus,hydropneumothorax,superimposition,haemoptysis,fatigue,tired,polydypsia,difficulty passing urine","lymphoma is a cancer of a part of the immune system called the lymph system. lymphoma can cause many symptoms, such as Swollen, painless lymph nodes in the neck, armpits or groin Unexplained weight loss Fever Soaking night sweats Coughing, trouble breathing or chest pain Weakness and tiredness that don't go away Pain, swelling or a feeling of fullness in the abdomen",
manic disorder,"energy increased,suicidal,hypersomnia,feeling suicidal,blanch,hallucinations auditory,hallucinations visual,elation,verbal auditory hallucinations,feeling hopeless,difficulty,decompensation,verbally abusive behavior,suicidal,feeling suicidal","ipolar disorder, previously known as manic depressive illness, is a severe chronic mood disorder, characterized by the recurrence of mania (hypomania), depression, or mixed episodes. It is one of the main causes of disability among young people, leading to cognitive and functional impairment and raised mortality, particularly death by suicide. Mania is the most characteristic phase of bipolar disorder. While mood elevation and euphoria are commonly described phenotypic descriptors of mania, irritability and anger may dominate.",
